時間戳記,server_name,time,description,賽季
2025/11/4 下午 7:14:40,獅子連斬,2025/11/5,S4開始,
2025/11/4 下午 7:49:56,熾焰龍心,2025/11/16,仙海雲舟,
2025/11/4 下午 9:40:06,熾焰龍心,2025/11/20,仙海雲舟,
2025/11/5 上午 3:38:48,碳烤蘑菇,2025/12/4,S1結束,
2025/11/5 下午 4:46:14,熾焰龍心,2025/11/17,　　【副本開啟】仙海雲舟,
2025/11/5 下午 10:11:24,熾焰龍心,2025/11/20,S3開始,
2025/11/5 下午 10:54:51,奏响风暴,2025/11/19,S2 开始,
2025/11/6 上午 12:41:23,聖光淨化,2025/9/30,S2開始,
,,,,
2025/11/6 下午 10:24:47,曙光繪卷,2025/11/8,【副本開啟】仙海雲舟,
2025/11/11 下午 10:53:35,狂花海岸,2025/7/25,開服第一天,
2025/11/12 下午 10:30:35,灭却锋刃,2025/11/18,S2 【副本開啟】仙海云舟,
2025/11/17 上午 10:22:52,戰意沸騰,2025/9/26,S2 開始,
2025/11/17 上午 10:24:59,戰意沸騰,2025/11/17,【副本開啟】仙海雲舟,
2025/11/17 上午 10:36:04,戰意沸騰,2025/12/2,S2 結束,
2025/11/17 下午 9:16:08,淨心護甲、以守為攻、生命祝福、向量反彈,2025/12/17,S3 結束（可能）,
2025/11/19 上午 9:10:13,奏响风暴,2025/11/19,S3開始,
2025/11/28 下午 7:25:07,淨心護甲、以守為攻、生命祝福、向量反彈,2025/12/19,S2,
2025/12/1 下午 7:06:01,淨心護甲、以守為攻、生命祝福、向量反彈,2025/12/1,古劍城,
2025/12/2 下午 6:20:59,荒島旅途,2025/12/12,S1結束,
2025/12/2 下午 11:31:05,雷電奧秘,2025/12/3,S3 開始,
2025/12/10 下午 3:19:07,雷電奧秘,2026/2/24,【副本開啟】君臨之巢,
2025/12/19 下午 1:15:33,淨心護甲、以守為攻、生命祝福、向量反彈,2025/12/19,S3 開始,
2025/12/19 下午 2:24:17,淨心護甲、以守為攻、生命祝福、向量反彈、火焰星軌、魔力湧動、不屈意志、天神怒雷,2026/1/2,【副本開啟】永恆花庭,
2025/12/19 下午 9:27:05,守護之風,2025/12/31,S1,
2025/12/27 上午 11:58:01,極樂光域,2025/12/28,s1,
2025/12/31 上午 2:54:32,狂花海岸,2026/1/31,S3開始,
2026/1/1 下午 6:39:58,戰意沸騰,2026/1/1,S2,
2026/1/2 上午 10:40:56,記憶長廊,2025/12/29,開服,
2026/1/4 上午 12:25:20,烈焰鳳凰,2026/1/1,S2開始,
2026/1/5 下午 1:29:47,山石之巔,2026/1/4,仙舟,
2026/1/6 下午 3:27:42,記憶長廊,2026/1/9,S1 開始,
2026/1/8 下午 4:01:37,魔能峽谷,2026/2/26,S4,
2026/1/8 下午 7:22:30,火焰之徑,2026/4/5,自訂,
2026/1/11 上午 4:17:33,神秘之龍,2025/7/15,將軍陵,
2026/1/14 上午 11:19:10,風息懸崖,2025/7/16,S3开始，【副本开启】烈陽尖塔,
2026/1/15 下午 9:03:43,悠闲午后,2026/4/9,【副本開啟】將軍陵,
2026/1/19 下午 7:38:08,記憶長廊,2026/2/13,S2 開始,
2026/1/28 下午 7:12:04,荊棘王冠,2026/2/4,S2 開始,
2026/1/31 上午 4:09:56,戰意沸騰,2026/2/8,S2開啟,
2026/2/5 下午 7:31:39,獅子連斬,2026/2/15,S4 開啓,
2026/2/11 上午 6:57:52,遺蹟石板,2025/12/25,S2開始,
2026/2/11 上午 6:58:38,遺蹟石板,2026/2/26,S2,
2026/2/11 上午 6:59:43,遺蹟石板,2026/2/26,S2開始,
2026/2/11 上午 7:00:27,遺蹟石板,2025/12/25,S2開始,
2026/2/11 下午 10:27:51,鎖妖之塔,2026/2/23,s4開始,
2026/2/12 上午 8:45:05,悠闲午后,2026/3/6,S2 開始、 【副本開啟】將軍陵,
2026/2/15 上午 10:06:51,風語山徑,2026/2/19,S3 結束,
2026/2/15 下午 4:05:52,悠閒午後,2026/3/6,【副本開啟】仙海雲舟,
2026/2/15 下午 8:25:37,雷电奥秘,2026/3/12,（副本开启）君临之巢,
2026/2/19 下午 9:15:11,淨心護甲、以守為攻、生命祝福、向量反彈、火焰星軌、魔力湧動、不屈意志、天神怒雷,2026/3/26,S3 結束,
2026/2/23 下午 1:05:40,戰陣鼓舞,2026/3/11,S3 明天開始、 【副本開啟】君臨之巢,S3
2026/2/24 下午 8:33:19,符文之柱,2026/1/25,S2 開始,S2
2026/2/25 上午 3:52:42,力量信仰,2026/3/26,S4開始,S3
2026/3/1 下午 4:36:53,流刃火舞,2026/3/2,「副本開啟」君臨之巢,S3
2026/3/2 上午 7:49:11,風語山徑,2026/3/10,2,S4
2026/3/3 上午 10:50:09,火焰噴射,2026/3/11,S2開始,S3
2026/3/3 下午 10:41:12,閃電連鎖,2026/3/7,S3倒數4天,S3
2026/3/13 下午 9:28:46,緋雲洞窟,0115/2/23,S1開始、 【副本開啟】海之宮遺跡,S1
2026/3/14 下午 9:11:07,幻影迷宮,2026/3/25,仙海雲舟,S2
2026/3/18 下午 4:58:07,乘風破浪,0026/3/2,S1開始、 【副本開啟】海之宮遺跡,S1
2026/3/25 下午 10:43:50,虛數空間,2026/5/14,將軍嶺,S2
2026/3/26 上午 9:49:49,淨心護甲、以守為攻、生命祝福、向量反彈、火焰星軌、魔力湧動、不屈意志、天神怒雷,2026/4/9,【副本開啟】樂園海盜船,S4
2026/3/26 上午 9:50:35,淨心護甲、以守為攻、生命祝福、向量反彈、火焰星軌、魔力湧動、不屈意志、天神怒雷,2026/4/23,【副本開啟】海皇潛艇,S4
2026/3/29 下午 7:54:53,荊棘王冠,2026/3/8,S2 開始,S2
2026/4/1 下午 2:53:22,悠閒午後,2026/5/1,S3赛季结束,S3
2026/4/1 下午 4:14:31,不可思議、青草糰子、炭烤蘑菇、炒高麗菜、糖果小人、愉悅沙拉、蜜汁烤肉、嘟嘟果釀、樹莓蛋糕、皇冠披薩、月圓之夜、咖哩燉菜、飛升之舞、松露甜餅、鹽滷豆腐、青玉湯麵,2026/5/10,台服，首服：不可思議，2025/10/10開服，第19區,S3
2026/4/5 上午 10:30:36,永恆誓約,2026/4/5,竹林仙君,S2
,,,,
,,,,
,,,,
2026/4/7 下午 8:25:08,淨心護甲、以守為攻、生命祝福、向量反彈、火焰星軌、魔力湧動、不屈意志、天神怒雷,2026/5/6,【副本開啟】發條要塞,S4
2026/4/7 下午 8:25:19,淨心護甲、以守為攻、生命祝福、向量反彈、火焰星軌、魔力湧動、不屈意志、天神怒雷,2026/5/20,【副本開啟】天象觀測站,S4
2026/4/7 下午 8:25:34,淨心護甲、以守為攻、生命祝福、向量反彈、火焰星軌、魔力湧動、不屈意志、天神怒雷,2026/6/3,【副本開啟】泰坦熱氣球,S4
2026/4/7 下午 8:25:47,淨心護甲、以守為攻、生命祝福、向量反彈、火焰星軌、魔力湧動、不屈意志、天神怒雷,2026/6/17,【副本開啟】星空之城,S4
2026/4/8 下午 12:53:58,颶風獅鷲,2026/1/13,【賽季】S3羽之國開啟,S3
2026/4/11 下午 3:57:04,飛升之舞,2026/4/11,S3開始,S3
2026/4/12 下午 1:46:37,鎖妖之塔,2026/5/31,【賽季】,S4
2026/4/13 下午 4:26:32,悠閒午後,2026/6/22,【賽季】赛季结束,S3
2026/4/13 下午 6:42:05,命運織機,2026/3/18,【副本開啟】,S2
2026/4/16 下午 1:51:47,滾燙印記,2026/5/2,【賽季】,S3
2026/4/16 下午 10:19:28,君臨神殿,2026/5/4,【賽季】,S1
,,,,
,,,,
2026/4/16 下午 11:24:47,永恆花庭,2026/4/16,S1澤之國,S1
2026/4/17 上午 4:29:44,驅雷摯電,2026/4/20,【副本開啟】黃泉閣開放,S1
2026/4/17 上午 4:42:06,驅雷摯電,2026/3/31,【賽季】S1開始,S1
2026/4/18 上午 3:22:32,落雷之森,2026/5/1,【副本開啟】S1、黃泉第一天,S1
,,,,
,,,,
2026/4/19 上午 5:07:45,曙光繪卷,2026/4/19,【賽季】S1最後一天,S1
2026/4/19 上午 5:07:51,曙光繪卷,2026/4/30,【賽季】,S1
,,,,
2026/4/21 下午 12:43:44,將魂劍魄、勇者之劍,2026/4/27,【副本開啟】源水大社,S1
2026/4/24 下午 3:49:28,鯨背森林,2026/4/24,【賽季】,S4
2026/4/28 下午 3:40:03,山嶺巨砲,2026/4/25,【賽季】S2開始,S2
,,,,
2026/4/28 下午 4:27:04,大樹迴廊,2026/4/28,【賽季】,S4
,,,,
2026/4/28 下午 8:27:50,秩序之核,2026/4/28,【賽季】,S1
2026/4/29 上午 12:58:23,沙漠風暴,2026/4/29,【副本開啟】,S2
2026/5/6 下午 5:42:35,狂花海岸,2026/5/12,1,S3